time_period,variable,exposure_definition,Fx_control,Fx_exposed,F1_control,F1_exposed,F2_control,F2_exposed,F3_control,F3_exposed,F4_control,F4_exposed
1,N,diagnosed,29549,7274,3670,789,1275,271,7601,1647,24925,5797
1,female,diagnosed,18028 (61.01),4684 (64.39),1476 (40.22),317 (40.18),738 (57.88),156 (57.56),5026 (66.12),1092 (66.30),16134 (64.73),3892 (67.14)
1,month_infection,diagnosed,9 (1),9 (1),9 (2),9 (2),9 (1),9 (1),9 (1),9 (1),9 (1),9 (1)
1,year_infection,diagnosed,2020 (0),2020 (0),2020 (0),2020 (0),2020 (0),2020 (0),2020 (0),2020 (0),2020 (0),2020 (0)
1,DCCI,diagnosed,0.92 (1.55),1.2 (1.78),1.17 (1.8),1.33 (1.98),1.44 (2.04),1.58 (2.11),1.32 (1.82),1.47 (1.93),0.93 (1.53),1.14 (1.71)
2,N,diagnosed,322884,72815,40742,8160,21480,4300,86932,17396,266089,55758
2,female,diagnosed,205759 (63.73),48654 (66.82),15549 (38.16),3111 (38.12),12336 (57.43),2468 (57.40),61675 (70.95),12341 (70.94),183790 (69.07),39126 (70.17)
2,month_infection,diagnosed,11 (1),11 (1),11 (2),11 (2),11 (1),11 (1),11 (1),11 (1),11 (1),11 (1)
2,year_infection,diagnosed,2020 (0),2020 (0),2020 (0),2020 (0),2020 (0),2020 (0),2020 (0),2020 (0),2020 (0),2020 (0)
2,DCCI,diagnosed,1.32 (1.85),1.55 (2.03),1.75 (2.1),1.79 (2.17),1.98 (2.25),1.99 (2.26),1.78 (2.12),1.82 (2.2),1.33 (1.85),1.43 (1.93)
3,N,diagnosed,443728,99307,63623,12768,26859,5405,113967,22900,362380,76462
3,female,diagnosed,273385 (61.61),64115 (64.56),22267 (35.00),4466 (34.98),13875 (51.66),2792 (51.66),79484 (69.74),15971 (69.74),243249 (67.13),52333 (68.44)
